time,cpu_utilization,workload_type,workload_intensity
50,50.0,Mixed,Low
51,100.0,Mixed,Low
52,100.0,Mixed,Low
53,100.0,Mixed,Low
54,100.0,Mixed,Low
55,100.0,Mixed,Low
56,100.0,Mixed,Low
57,100.0,Mixed,Low
58,100.0,Mixed,Low
59,100.0,Mixed,Low
60,100.0,Mixed,Low
61,100.0,Mixed,Low
62,100.0,Mixed,Low
63,100.0,Mixed,Low
64,100.0,Mixed,Low
65,100.0,Mixed,Low
66,100.0,Mixed,Low
67,100.0,Mixed,Low
68,100.0,Mixed,Low
69,100.0,Mixed,Low
70,100.0,Mixed,Low
71,75.0,Mixed,Low
72,75.0,Mixed,Low
73,75.0,Mixed,Low
74,75.0,Mixed,Low
75,75.0,Mixed,Low
76,100.0,Mixed,Low
77,100.0,Mixed,Low
78,100.0,Mixed,Low
79,100.0,Mixed,Low
80,100.0,Mixed,Low
81,100.0,Mixed,Low
82,100.0,Mixed,Low
83,100.0,Mixed,Low
84,100.0,Mixed,Low
85,100.0,Mixed,Low
86,100.0,Mixed,Low
87,100.0,Mixed,Low
88,100.0,Mixed,Low
89,100.0,Mixed,Low
90,75.0,Mixed,Low
91,75.0,Mixed,Low
92,75.0,Mixed,Low
93,50.0,Mixed,Low
94,75.0,Mixed,Low
95,100.0,Mixed,Low
96,100.0,Mixed,Low
97,25.0,Mixed,Low
98,25.0,Mixed,Low
99,25.0,Mixed,Low
0,100.0,Mixed,Moderate
1,75.0,Mixed,Moderate
2,75.0,Mixed,Moderate
3,25.0,Mixed,Moderate
4,50.0,Mixed,Moderate
5,50.0,Mixed,Moderate
6,100.0,Mixed,Moderate
7,75.0,Mixed,Moderate
8,50.0,Mixed,Moderate
9,50.0,Mixed,Moderate
10,25.0,Mixed,Moderate
11,25.0,Mixed,Moderate
12,0.0,Mixed,Moderate
13,0.0,Mixed,Moderate
14,0.0,Mixed,Moderate
15,25.0,Mixed,Moderate
16,0.0,Mixed,Moderate
17,25.0,Mixed,Moderate
18,50.0,Mixed,Moderate
19,50.0,Mixed,Moderate
20,75.0,Mixed,Moderate
21,50.0,Mixed,Moderate
22,25.0,Mixed,Moderate
23,25.0,Mixed,Moderate
24,50.0,Mixed,Moderate
25,50.0,Mixed,Moderate
26,50.0,Mixed,Moderate
27,50.0,Mixed,Moderate
28,50.0,Mixed,Moderate
29,25.0,Mixed,Moderate
30,25.0,Mixed,Moderate
31,25.0,Mixed,Moderate
32,25.0,Mixed,Moderate
33,25.0,Mixed,Moderate
34,75.0,Mixed,Moderate
35,75.0,Mixed,Moderate
36,100.0,Mixed,Moderate
37,100.0,Mixed,Moderate
38,100.0,Mixed,Moderate
39,100.0,Mixed,Moderate
40,75.0,Mixed,Moderate
41,75.0,Mixed,Moderate
42,50.0,Mixed,Moderate
43,50.0,Mixed,Moderate
44,25.0,Mixed,Moderate
45,25.0,Mixed,Moderate
46,0.0,Mixed,Moderate
47,25.0,Mixed,Moderate
48,25.0,Mixed,Moderate
49,25.0,Mixed,Moderate
50,25.0,Mixed,Moderate
51,50.0,Mixed,Moderate
52,50.0,Mixed,Moderate
53,75.0,Mixed,Moderate
54,100.0,Mixed,Moderate
55,100.0,Mixed,Moderate
56,75.0,Mixed,Moderate
57,75.0,Mixed,Moderate
58,25.0,Mixed,Moderate
59,50.0,Mixed,Moderate
60,75.0,Mixed,Moderate
61,50.0,Mixed,Moderate
62,50.0,Mixed,Moderate
63,50.0,Mixed,Moderate
64,50.0,Mixed,Moderate
65,50.0,Mixed,Moderate
66,75.0,Mixed,Moderate
67,75.0,Mixed,Moderate
68,75.0,Mixed,Moderate
69,100.0,Mixed,Moderate
70,100.0,Mixed,Moderate
71,100.0,Mixed,Moderate
72,100.0,Mixed,Moderate
73,100.0,Mixed,Moderate
74,100.0,Mixed,Moderate
75,75.0,Mixed,Moderate
76,50.0,Mixed,Moderate
77,25.0,Mixed,Moderate
78,0.0,Mixed,Moderate
79,50.0,Mixed,Moderate
80,75.0,Mixed,Moderate
81,75.0,Mixed,Moderate
82,75.0,Mixed,Moderate
83,50.0,Mixed,Moderate
84,75.0,Mixed,Moderate
85,50.0,Mixed,Moderate
86,50.0,Mixed,Moderate
87,25.0,Mixed,Moderate
88,25.0,Mixed,Moderate
89,25.0,Mixed,Moderate
90,25.0,Mixed,Moderate
91,25.0,Mixed,Moderate
92,25.0,Mixed,Moderate
93,75.0,Mixed,Moderate
94,75.0,Mixed,Moderate
95,50.0,Mixed,Moderate
96,75.0,Mixed,Moderate
97,50.0,Mixed,Moderate
98,50.0,Mixed,Moderate
99,75.0,Mixed,Moderate
0,100.0,Mixed,High
1,75.0,Mixed,High
2,50.0,Mixed,High
3,75.0,Mixed,High
4,75.0,Mixed,High
5,75.0,Mixed,High
6,75.0,Mixed,High
7,50.0,Mixed,High
8,25.0,Mixed,High
9,25.0,Mixed,High
10,0.0,Mixed,High
11,25.0,Mixed,High
12,0.0,Mixed,High
13,0.0,Mixed,High
14,0.0,Mixed,High
15,75.0,Mixed,High
16,75.0,Mixed,High
17,75.0,Mixed,High
18,75.0,Mixed,High
19,75.0,Mixed,High
20,100.0,Mixed,High
21,75.0,Mixed,High
22,75.0,Mixed,High
23,75.0,Mixed,High
24,75.0,Mixed,High
25,75.0,Mixed,High
26,100.0,Mixed,High
27,100.0,Mixed,High
28,50.0,Mixed,High
29,50.0,Mixed,High
30,0.0,Mixed,High
31,0.0,Mixed,High
32,25.0,Mixed,High
33,75.0,Mixed,High
34,50.0,Mixed,High
35,25.0,Mixed,High
36,25.0,Mixed,High
37,75.0,Mixed,High
38,75.0,Mixed,High
39,25.0,Mixed,High
40,0.0,Mixed,High
41,0.0,Mixed,High
42,0.0,Mixed,High
43,0.0,Mixed,High
44,0.0,Mixed,High
45,0.0,Mixed,High
46,0.0,Mixed,High
47,0.0,Mixed,High
48,0.0,Mixed,High
49,0.0,Mixed,High
50,0.0,Mixed,High
51,0.0,Mixed,High
52,0.0,Mixed,High
53,0.0,Mixed,High
54,0.0,Mixed,High
55,0.0,Mixed,High
56,0.0,Mixed,High
57,0.0,Mixed,High
58,0.0,Mixed,High
59,0.0,Mixed,High
60,0.0,Mixed,High
61,0.0,Mixed,High
62,0.0,Mixed,High
63,0.0,Mixed,High
64,0.0,Mixed,High
65,0.0,Mixed,High
66,0.0,Mixed,High
67,0.0,Mixed,High
68,0.0,Mixed,High
69,0.0,Mixed,High
70,0.0,Mixed,High
71,0.0,Mixed,High
72,0.0,Mixed,High
73,0.0,Mixed,High
74,0.0,Mixed,High
75,0.0,Mixed,High
76,0.0,Mixed,High
77,0.0,Mixed,High
78,0.0,Mixed,High
79,0.0,Mixed,High
80,0.0,Mixed,High
81,0.0,Mixed,High
82,0.0,Mixed,High
83,0.0,Mixed,High
84,0.0,Mixed,High
85,0.0,Mixed,High
86,0.0,Mixed,High
87,0.0,Mixed,High
88,0.0,Mixed,High
89,0.0,Mixed,High
90,0.0,Mixed,High
91,0.0,Mixed,High
92,0.0,Mixed,High
93,0.0,Mixed,High
94,0.0,Mixed,High
95,0.0,Mixed,High
96,0.0,Mixed,High
97,0.0,Mixed,High
98,0.0,Mixed,High
99,0.0,Mixed,High
